trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.01, 'e': 0.13601365416684918}",20,13,11.25874191270366,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.13398867466880499}",20,7,0.9802191227970201,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.13199384318783022}",30,16,22.645783821951007,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.1300287108784259}",25,2,28.55938421991453,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.12809283557753204}",20,14,11.931443145284598,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.12618578170503877}",30,19,11.644787156797808,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.12430712016577938}",20,14,11.7225098074096,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.1224564282529819}",25,17,14.631813532692828,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.12063328955315832}",20,16,6.439471121274099,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.11883729385240965}",20,16,10.44153789952341,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.11706803704412637}",30,20,20.389477893185525,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.11532512103806251}",30,16,20.447674283108864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11360815367076377}",20,9,20.2075519851249,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.11191674861732888}",20,16,6.817368782857946,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.11025052530448522}",20,2,30.2404523342215,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.10860910882495801}",30,20,14.001056850300547,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.10699212985311449}",30,14,21.272723171406852,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.10539922456186433}",25,19,12.187922756088199,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.10383003454079692}",35,21,14.344132755851398,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.10228420671553748}",20,11,17.505883242566643,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.10076139326830373}",25,0,38.01727465298327,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.09926125155964566}",25,7,13.568942859277781,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.09778344405135009}",20,0,-12.94208676235036,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
157,False,"{'a': 0.01, 'e': 0.09632763823049303}",30,20,19.992363127992387,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.09489350653462311}",25,2,1.6076489523500173,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.09348072627805847}",20,8,21.827782193038495,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.0920889795792812}",30,20,18.099109214525434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.09071795328941251}",20,12,13.848347711212277,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.08936733892175319}",20,9,17.27695971977162,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.08803683258237259}",20,16,7.9214112227594216,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.08672613490173114}",20,10,10.613274451004978,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.08543495096732123}",25,11,28.10233341432293,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.08416299025731036}",30,12,35.404194102425805,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.0829099665751727}",30,22,16.700472942841042,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.08167559798529346}",20,1,-20.20676770949799,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
169,False,"{'a': 0.01, 'e': 0.08045960674953244}",20,3,23.96916638025636,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.07926171926473159}",20,5,-11.051389205019634,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.01, 'e': 0.07808166600115317}",25,0,-21.502871065613814,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
172,False,"{'a': 0.01, 'e': 0.0769191814418345}",30,16,27.912609240421133,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.07577400402284548}",25,17,14.13683644597337,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
